Class,Object,Score_(sum_of_class_+_synonyms),Instances_(sum_of_class_+_synonyms),Synonyms
Aquatic,(class_total),3.964,5.0,
,Tropics,1.09,2.0,
,Fish,1.429,2.0,Coral_Reef_Fish
,Ocean,0.811,1.0,
,Green_Algae,0.553,1.0,
Clean_Energy,(class_total),21.608,26.0,
,Wind,5.975,9.0,
,Wind_Turbine,12.772,15.0,Wind_Farm Windmill Turbine
,Solar_Power,5.776,6.0,Solar_Panel Solar_Energy
City,(class_total),19.073,23.0,
,Skyscraper,3.055,4.0,
,Tower,2.645,3.0,
,High-Rise_Building,2.541,3.0,
,Tourist_Attraction,2.483,3.0,
,Observation_Tower,0.842,1.0,
,Commercial_Building,1.357,2.0,Headquarters
,City,3.986,5.0,Cityscape Metropolis Skyline Intersection Retail Flight Condominium
Design,(class_total),17.454,28.0,
,Graphic_Design,14.765,24.0,
,Animation,2.689,4.0,
Farming,(class_total),15.341,21.0,
,Agriculture,7.414,12.0,
,Garden,5.641,7.0,
,Field,3.951,5.0,
,Farm,2.699,5.0,Plantation Pasture
Fashion,(class_total),3.124,4.0,
,Bracelet,1.421,2.0,Wristband
,Body_Jewelry,0.691,1.0,
,Gemstone,0.506,1.0,
,Jewelry_Making,0.506,1.0,
Hand,(class_total),2.387,3.0,
,Finger,0.938,1.0,Nail
,Thumb,0.822,1.0,
,Hand,0.627,1.0,
Home,(class_total),4.517,5.0,
,Furniture,2.839,3.0,
,Chair,0.703,1.0,
,Home_Appliance,0.743,1.0,
,Laundry_Supply,1.191,2.0,Household_Cleaning_Supply Laundry_Detergent
Interior_Design,(class_total),10.408,12.0,
,Interior_Design,1.918,2.0,
,Ceiling,1.763,2.0,
,Shelf,2.918,4.0,Shelving
,Floor,1.813,2.0,Flooring
,Room,0.855,1.0,
,Wall,0.976,1.0,
Office,(class_total),1.876,2.0,
,Office_Equipment,1.876,2.0,
Material,(class_total),4.904,6.0,
,Plastic,2.167,3.0,
,Glass,0.84,1.0,
,Reflection,0.79,1.0,
,Transparency,0.613,1.0,
,Natural_Material,0.684,1.0,
Medicine,(class_total),8.787,10.0,
,Medicine,4.936,5.0,Pharmaceutical_Drug Pill Prescription_Drug Nutraceutical Health_Care
,Medical,0.632,1.0,
,Analgesic,0.628,1.0,
,Stimulant,0.517,1.0,
,Nutraceutical,0.542,1.0,
Nature,(class_total),20.752,27.0,
,Nature,4.877,5.0,
,Meadow,4.923,6.0,
,Lawn,3.019,4.0,
,Woody_Plant,2.682,3.0,
,Botanical_Garden,1.084,2.0,
,Landscaping,1.419,2.0,
,Plants,0.967,1.0,
,Grassland,0.94,1.0,
,Dew,0.844,1.0,
,Herbaceous_Plant,0.715,1.0,
,Macro_Photography,0.625,1.0,
,Bird,0.564,1.0,
,Evergreen,0.593,1.0,
Science,(class_total),15.35,21.0,
,Science,14.736,26.0,
,Bubble,1.295,2.0,
,Marine_Biology,0.614,1.0,
,Solvent_In_Chemical_Reactions,0.56,1.0,
,Publication,0.569,1.0,
Space,(class_total),43.699,59.0,
,Earth,30.988,41.0,Globe Astronomical_Object Planet Map Natural_Landscape Island Atlas List_Of_Peninsulas Landmark
,Sphere,14.953,21.0,
,Space,0.779,1.0,
Weather,(class_total),23.968,31.0,
,Cloud,17.727,22.0,Cumulus Meteorological_Phenomenon
,Lighting,0.921,1.0,
,Sunlight,3.954,5.0,Daytime Summer Daylighting Sun
,Precipitation,0.6,1.0,
Tech,(class_total),36.543,41.0,
,Technology,6.12,7.0,
,Electronic_Device,13.402,15.0,Gadget Machine Display_Device Computer_Hardware Output_Device Electronics
,Computer,3.788,4.0,Desktop_Computer Personal_Computer
,Communication_Device,4.806,5.0,Mobile_Phone Telephony Portable_Communications_Device Mobile_Device Telephone
,Computer_Monitor,2.607,3.0,
,Operating_System,5.567,8.0,
,Engineering,0.748,1.0,
,Television_Set,0.761,1.0,
Liquid,(class_total),7.481,8.0,
,Liquid,5.581,6.0,Fluid Moisture Bubble
,Farming_Fluid,1.9,2.0,
Media,(class_total),1.423,2.0,
,Advertising,0.727,1.0,
,Multimedia,0.696,1.0,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
