Class,Object,Score_(sum_of_class_+_synonyms),Instances_(sum_of_class_+_synonyms),Synonyms
Art,(class_total),12.548,19.0,
,Fractal_Art,3.016,5.0,
,Creative_Arts,2.918,4.0,
,Performing_Arts,2.59,3.0,
,Modern_Art,2.218,4.0,
,Cg_Artwork,0.744,1.0,
,Paint,0.6,1.0,
,Sticker,0.552,1.0,
Design,(class_total),53.763,72.0,
,Graphic_Design,38.285,52.0,
,Animation,6.235,10.0,Animated_Cartoon Cartoon
,Floral_Design,2.428,4.0,
,Monochrome,0.855,1.0,
,Neon,0.629,1.0,
,Wallpaper,3.967,7.0,
,Monochrome_Photography,0.921,1.0,
,Fashion_Illustration,1.12,2.0,
Fashion,(class_total),1.12,2.0,
,Fashion_Illustration,1.12,2.0,
City,(class_total),9.611,11.0,
,High-Rise_Building,1.688,2.0,
,Skyscraper,1.594,2.0,
,Cityscape,1.48,2.0,Metropolis Skyline
,Tower,0.771,1.0,
,Observation_Tower,0.842,1.0,
,Commercial_Building,0.787,1.0,
,City,2.449,3.0,
Drink,(class_total),5.233,6.0,
,Bottle,0.969,1.0,
,Glass_Bottle,0.862,1.0,
,Carbonated_Soft_Drinks,0.899,1.0,Soft_Drink
,Alcoholic_Drink,0.856,1.0,
,Non-Alcoholic_Drink,0.74,1.0,
,Liquor,0.73,1.0,
Extreme_Sport,(class_total),3.934,5.0,
,Extreme_Sport,0.875,1.0,
,Stunt,1.481,2.0,Stunt_Performer
,Bmx,0.626,1.0,
,Freestyle_Motocross,0.846,1.0,
Flight,(class_total),4.748,5.0,
,Aviation,0.837,1.0,
,Air_Travel,0.834,1.0,
,Aircraft,0.795,1.0,
,Fixed-Wing_Aircraft,0.554,1.0,
,Aerospace_Engineering,0.857,1.0,
Fitness,(class_total),2.961,3.0,
,Physical_Fitness,0.903,1.0,
,Exercise,0.747,1.0,
,Zumba,0.564,1.0,
Liquid,(class_total),0.921,1.0,
,Liquid,0.921,1.0,
Material,(class_total),1.372,2.0,
,Plastic,1.372,2.0,
Media,(class_total),6.853,8.0,
,Entertainment,5.211,6.0,
,Advertising,1.642,2.0,
Music,(class_total),4.962,5.0,
,Music,0.915,1.0,
,Musical_Instrument,2.34,3.0,Chordophone String_Instrument
,Musical_Ensemble,0.882,1.0,
,Jazz,0.725,1.0,
Shape,(class_total),3.037,5.0,
,Star,1.008,2.0,
,Box,0.643,1.0,
,Sphere,0.572,1.0,
,Cylinder,0.551,1.0,
,Triangle,0.539,1.0,
Space,(class_total),0.573,1.0,
,Astronomical_Object,0.573,1.0,
Tech,(class_total),57.266,64.0,
,Technology,2.585,3.0,
,Electronic_Device,5.318,6.0,Gadget Display_Device Electronics
,Loudspeaker,1.363,2.0,
,Wallpaper,3.967,7.0,
,Computer,0.892,1.0,
,Science,0.507,1.0,
,Compact_Disc,0.591,1.0,
,Boombox,0.514,1.0,
,Mobile_Phone,3.084,4.0,Communication_Device Telephony Portable_Communications_Device Mobile_Device
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
