Class,Object,Score_(sum_of_class_+_synonyms),Instances_(sum_of_class_+_synonyms),Synonyms
Advertising,(class_total),4.374,6.0,
,Advertising,3.15,4.0,Display_Advertising Online_Advertising
Aquatic,(class_total),30.688,39.0,
,Fish,10.834,13.0,Fin Clownfish Ocellaris_Clownfish Coral_Reef_Fish Pomacentridae Bony_Fishes Ray-Finned_Fishes
,Underwater,4.144,6.0,
,Aquarium,2.868,4.0,Fish_Supply
,Goldfish,1.666,2.0,
,Ocean,0.882,1.0,
,Sea,0.866,1.0,
,Dolphin,1.526,2.0,Bottlenose_Dolphin
,Marine_Invertebrates,0.592,1.0,
City,(class_total),16.08,22.0,
,High-Rise_Building,4.433,6.0,Skyscraper
,Commercial_Building,4.486,6.0,Headquarters
,Hotel,3.081,5.0,Eco_Hotel
,Architecture,1.865,2.0,
,Condominium,1.604,2.0,
,Apartment,0.838,1.0,
,Tower,0.831,1.0,
,Intersection,0.576,1.0,
,Highway,0.503,1.0,
,Skyline,0.547,1.0,
,Cityscape,1.21,2.0,City
Design,(class_total),34.02,47.0,
,Graphic_Design,21.304,35.0,
,Animation,12.416,19.0,Animated_Cartoon
,Wallpaper,1.885,3.0,
,Fashion,0.62,1.0,Gemstone
Earth,(class_total),7.72,11.0,
,Earth,3.268,5.0,
,Globe,2.535,4.0,
,Natural_Landscape,1.917,2.0,
Farming,(class_total),10.312,15.0,
,Agriculture,3.128,5.0,
,Field,7.184,9.0,Plantation
,Pasture,0.822,1.0,
,Fruit,7.066,9.0,Produce Natural_Foods Citrus Rangpur Lemon Berry Strawberry Strawberries
Flight,(class_total),6.217,8.0,
,Air_Travel,1.458,2.0,Travel
,Aircraft,1.628,2.0,Fixed-Wing_Aircraft
,Aviation,0.829,1.0,
,Aerospace_Engineering,0.876,1.0,
,Flight,1.385,2.0,
Food,(class_total),7.066,9.0,
,Fruit,7.066,9.0,Produce Natural_Foods Citrus Rangpur Lemon Berry Strawberry Strawberries
Home,(class_total),5.509,6.0,
,Furniture,2.867,3.0,
,Chair,1.819,2.0,Office_Chair
,Daybed,1.265,2.0,
,Home,0.909,1.0,
,Couch,0.577,1.0,
,Carpet,0.619,1.0,
,Landscaping,0.676,1.0,
Interior_Design,(class_total),28.985,36.0,
,Interior_Design,8.577,9.0,
,Ceiling,6.411,7.0,
,Living_Room,4.179,6.0,
,Floor,7.569,8.0,Flooring
,Lighting,5.337,7.0,Light_Fixture Lens_Flare Shade
,Shelf,3.417,4.0,Shelving
,Bedroom,0.905,1.0,
,Lobby,0.706,1.0,
,Waiting_Room,0.534,1.0,
,Plumbing_Fixture,0.501,1.0,
Liquid,(class_total),16.573,19.0,
,Liquid,9.192,10.0,Bubble Fluid Moisture
,Water,0.981,1.0,
,Drink,4.568,6.0,Bottle Plastic_Bottle Carbonated_Soft_Drinks Soft_Drink Non-Alcoholic_Drink Water_Bottle
,Oceanic_Moisture,1.832,2.0,Dew
Material,(class_total),8.915,11.0,
,Glass,7.348,9.0,
,Plastic,2.083,3.0,
,Marble,0.739,1.0,
,Natural_Material,0.828,1.0,
Media,(class_total),4.374,6.0,
,Advertising,3.15,4.0,Display_Advertising Online_Advertising
,Nature,(class_total),19.554,25
,Meadow,7.299,9.0,
,Lawn,5.629,7.0,
,Grassland,2.742,3.0,
,Spring,1.666,2.0,
,Grass,2.834,3.0,Artificial_Turf Grasses
,Park,1.195,2.0,
,Reservoir,0.701,1.0,
,Garden,0.819,1.0,
,Macro_Photography,0.632,1.0,
,Herb,0.505,1.0,
Science,(class_total),11.276,18.0,
,Science,7.849,14.0,
,Marine_Biology,3.427,4.0,
Shape,(class_total),9.23,13.0,
,Sphere,9.23,13.0,
Space,(class_total),2.744,4.0,
,Astronomical_Object,1.435,2.0,
,Planet,1.309,2.0,
Sports,(class_total),2.528,4.0,
,Ball,1.794,3.0,
,Soccer_Ball,0.734,1.0,
Tech,(class_total),114.002,140.0,
,Technology,16.585,19.0,
,Electronic_Device,35.488,41.0,Display_Device Gadget Peripheral Electronics Output_Device Machine Computer_Hardware Input_Device
,Computer,13.032,17.0,Personal_Computer Desktop_Computer
,Software,7.76,12.0,Computer_Program
,Multimedia,7.583,11.0,
,Icon,4.969,8.0,
,Operating_System,9.43,13.0,
,Video_Games,5.088,7.0,Video_Game_Software Video_Game_Console Wii Game Tabletop_Game Board_Game Chess Indoor_Games_And_Sports
,Television,0.712,1.0,Lcd_Television Led-Backlit_Lcd Flat-Panel_Display
,Office_Equipment,3.527,4.0,
,Phone,11.042,15.0,Mobile_Phone Telephony Portable_Communications_Device Communication_Device Smartphone Mobile_Device Feature_Phone
Weather,(class_total),38.266,50.0,
,Cloud,18.44,22.0,Cumulus Meteorological_Phenomenon
,Sunlight,3.381,4.0,Daytime Daylighting
,Wind,2.989,5.0,Wind_Wave
,Precipitation,0.593,1.0,
,Wave,0.5,1.0,
,Weather,11.757,17.0,Cloud Sky Meteorological_Phenomenon
TOTALS,(all_classes),412.888,505.0,
